consumer_id,per_day_add_item_to_cart,per_day_transactions,per_day_payment_method_change,per_day_devices_per_user,per_day_purchase_total,per_day_unique_billing_last4
1,,4.0,0.0,1.0,,1.0
2,,1.0,0.0,1.0,24.73,
3,4.0,,0.0,1.0,,
4,1.0,,0.0,1.0,0.0,
5,,,0.0,1.0,,
7,,3.0,0.0,3.0,21.96,1.0
8,,1.0,0.0,1.0,48.02,
9,,,0.0,1.0,,
10,,1.0,0.0,1.0,34.73,1.0
11,,1.0,0.0,1.0,31.85,
13,,1.0,0.0,1.0,13.09,1.0
14,50.0,,0.0,1.0,,
15,,1.0,0.0,1.0,50.19,
16,,,0.0,1.0,,
17,,,0.0,1.0,,
19,,,0.0,1.0,0.0,
21,11.0,,0.0,2.0,0.0,1.0
22,,5.0,2.0,1.0,,2.0
23,,1.0,0.0,1.0,,1.0
24,,2.0,1.0,1.0,32.98,2.0
26,,,0.0,1.0,0.0,
27,,,0.0,1.0,0.0,
28,,,0.0,1.0,0.0,
29,,1.0,0.0,1.0,26.28,
30,,1.0,0.0,1.0,73.84,
31,,1.0,0.0,1.0,39.23,1.0
32,,1.0,0.0,1.0,36.26,1.0
33,2.0,,0.0,2.0,0.0,
34,,,0.0,1.0,,
35,,4.0,0.0,1.0,16.81,1.0
36,,1.0,0.0,1.0,43.43,
37,,1.0,0.0,1.0,19.5,1.0
39,,,0.0,1.0,0.0,
41,,1.0,0.0,1.0,45.95,1.0
42,,1.0,0.0,1.0,18.13,1.0
43,,1.0,0.0,1.0,42.72,
49,,,0.0,1.0,0.0,
50,,,0.0,1.0,0.0,
51,3.0,,0.0,1.0,,
52,,1.0,0.0,1.0,31.32,
54,5.0,1.0,0.0,2.0,33.86,1.0
55,,1.0,0.0,1.0,22.84,
56,,,0.0,1.0,,
57,,12.0,10.0,4.0,0.0,9.0
59,,,0.0,1.0,0.0,1.0
60,,2.0,3.0,1.0,0.0,2.0
62,1.0,2.0,1.0,2.0,4.33,2.0
63,,1.0,0.0,1.0,16.77,
64,,5.0,5.0,2.0,53.86,2.0
65,3.0,,0.0,1.0,,
66,,,0.0,1.0,0.0,
68,,9.0,3.0,1.0,0.0,3.0
69,,1.0,0.0,1.0,20.28,
70,14.0,,0.0,1.0,,
71,2.0,1.0,0.0,2.0,30.69,1.0
72,1.0,,0.0,1.0,,
73,,,0.0,1.0,,
74,,1.0,0.0,1.0,21.96,1.0
75,9.0,,0.0,1.0,,
76,,2.0,0.0,1.0,141.24,
78,3.0,1.0,0.0,2.0,40.04,1.0
79,40.0,,0.0,1.0,,
80,,,0.0,1.0,,
81,,1.0,0.0,1.0,33.8,1.0
82,,,0.0,1.0,0.0,
83,50.0,,0.0,1.0,,
85,,4.0,0.0,1.0,,1.0
86,,,0.0,1.0,,
87,,2.0,1.0,1.0,0.0,2.0
88,,1.0,0.0,1.0,24.19,1.0
89,5.0,2.0,1.0,2.0,16.19,2.0
90,,1.0,0.0,1.0,18.84,1.0
91,2.0,1.0,0.0,2.0,25.86,
93,,,0.0,1.0,,
95,,,0.0,2.0,0.0,
96,,2.0,0.0,2.0,50.26000000000001,1.0
97,,,0.0,1.0,,
98,,,0.0,1.0,0.0,
99,,18.0,0.0,2.0,39.85,
100,3.0,,0.0,1.0,,
101,2.0,1.0,0.0,2.0,22.52,1.0
102,,,0.0,1.0,0.0,
103,,1.0,0.0,2.0,30.44,1.0
104,,1.0,0.0,1.0,23.21,
105,,,0.0,1.0,,
106,,,0.0,1.0,,
108,,1.0,0.0,1.0,40.32,1.0
109,2.0,,0.0,1.0,,
111,,,0.0,1.0,,
112,,1.0,0.0,1.0,21.39,
113,,,0.0,1.0,0.0,
114,,1.0,0.0,1.0,0.0,1.0
115,,1.0,0.0,1.0,12.63,1.0
116,,,0.0,1.0,0.0,
117,,,0.0,1.0,0.0,
118,,,0.0,1.0,0.0,
119,4.0,,0.0,1.0,,
120,,1.0,0.0,1.0,11.11,
122,,1.0,2.0,1.0,0.0,2.0
123,,1.0,0.0,1.0,15.01,1.0
124,4.0,,0.0,2.0,,1.0
125,,,0.0,1.0,0.0,
126,,,0.0,1.0,,
127,,1.0,0.0,1.0,59.24,1.0
128,1.0,,0.0,1.0,,
129,4.0,1.0,0.0,2.0,0.0,1.0
131,1.0,1.0,0.0,2.0,12.03,1.0
132,,2.0,1.0,1.0,22.84,2.0
133,,1.0,0.0,1.0,23.75,
134,20.0,,0.0,1.0,,
135,,5.0,3.0,1.0,,4.0
136,,1.0,0.0,1.0,31.76,
137,,4.0,2.0,1.0,,3.0
139,,,0.0,2.0,0.0,
140,,1.0,0.0,1.0,31.69,1.0
141,,1.0,0.0,1.0,23.48,
143,,,0.0,1.0,0.0,
144,,5.0,0.0,1.0,0.0,
146,45.0,,0.0,1.0,,
147,2.0,,0.0,1.0,,
149,1.0,1.0,0.0,2.0,0.77,1.0
150,,,0.0,1.0,,
152,,,0.0,1.0,,
153,6.0,1.0,0.0,2.0,33.62,1.0
154,,,0.0,1.0,0.0,
155,,,0.0,1.0,,
158,1.0,,0.0,1.0,,
160,,,0.0,1.0,,
161,,3.0,0.0,2.0,120.9247404229275,
162,,1.0,0.0,1.0,50.03,
163,,1.0,0.0,1.0,36.22,1.0
164,,1.0,0.0,1.0,25.8,
166,,2.0,1.0,1.0,0.0,2.0
167,,,0.0,1.0,0.0,
169,,2.0,1.0,1.0,,2.0
170,,1.0,0.0,1.0,26.63,
171,,3.0,0.0,1.0,22.81,1.0
172,2.0,1.0,0.0,2.0,23.19,
173,,2.0,1.0,1.0,,2.0
174,,1.0,0.0,1.0,17.4,
175,,1.0,0.0,1.0,43.1,1.0
177,,,0.0,1.0,,
178,,,0.0,2.0,0.0,
179,1.0,,0.0,1.0,,
180,1.0,,0.0,1.0,,
181,,5.0,3.0,1.0,,4.0
182,1.0,,0.0,1.0,,
183,3.0,1.0,0.0,2.0,44.55,1.0
184,6.0,1.0,0.0,2.0,10.0,1.0
185,,1.0,0.0,1.0,19.37,
186,,1.0,0.0,1.0,39.5,1.0
187,,3.0,1.0,1.0,57.55,2.0
188,,,0.0,1.0,,
189,,1.0,0.0,1.0,0.0,1.0
191,,,0.0,1.0,0.0,
194,,1.0,0.0,1.0,65.66,1.0
195,,1.0,0.0,1.0,22.89,
197,1.0,1.0,0.0,2.0,17.75,1.0
200,,1.0,0.0,1.0,31.21,
201,19.0,,0.0,1.0,,
202,1.0,,0.0,1.0,,
203,8.0,2.0,0.0,2.0,28.39,1.0
204,2.0,1.0,0.0,2.0,16.19,1.0
205,,,0.0,2.0,0.0,
207,,1.0,0.0,1.0,112.42,
208,6.0,,0.0,1.0,,
210,,,0.0,1.0,,
211,,,0.0,1.0,0.0,
212,1.0,,0.0,1.0,0.0,
213,,1.0,0.0,1.0,22.37,1.0
215,,,0.0,1.0,,
216,,2.0,0.0,2.0,50.35,1.0
219,,2.0,0.0,2.0,12.19,1.0
220,,1.0,0.0,1.0,18.18,1.0
222,,,0.0,1.0,,
223,,3.0,1.0,3.0,,2.0
224,,1.0,0.0,2.0,26.36,1.0
225,,1.0,0.0,1.0,24.68,
226,,8.0,4.0,1.0,,4.0
228,,1.0,0.0,1.0,,1.0
230,,2.0,1.0,1.0,60.54,2.0
231,,,0.0,1.0,0.0,
232,4.0,,0.0,1.0,,
234,,1.0,0.0,1.0,,1.0
235,,6.0,1.0,1.0,35.92,2.0
237,2.0,,0.0,1.0,,
239,2.0,,0.0,1.0,,
241,,,0.0,1.0,0.0,
243,,1.0,0.0,1.0,16.23,
244,,,0.0,1.0,0.0,
246,,3.0,0.0,1.0,,1.0
248,2.0,,0.0,1.0,,
249,,4.0,0.0,1.0,0.0,
251,7.0,,0.0,1.0,,
252,,1.0,0.0,1.0,26.31,
253,,,0.0,1.0,,1.0
254,,3.0,0.0,1.0,0.0,1.0
255,,1.0,0.0,1.0,4.78,1.0
256,,,0.0,1.0,0.0,
258,,,0.0,1.0,0.0,
260,,2.0,1.0,1.0,,2.0
261,,,0.0,1.0,0.0,1.0
262,2.0,,0.0,1.0,,
264,,,0.0,1.0,,
265,,6.0,3.0,1.0,,1.0
266,2.0,1.0,0.0,2.0,19.16,1.0
267,13.0,,0.0,1.0,,
268,,5.0,3.0,4.0,50.89,3.0
269,,1.0,0.0,1.0,15.73,1.0
270,,4.0,3.0,1.0,,3.0
271,,1.0,0.0,1.0,14.4,
272,,3.0,2.0,1.0,0.0,1.0
273,,,0.0,2.0,,1.0
274,3.0,6.0,1.0,2.0,0.0,2.0
276,,,0.0,1.0,,
277,6.0,,0.0,3.0,,1.0
278,,1.0,0.0,2.0,41.11,1.0
279,25.0,,0.0,1.0,,
280,,4.0,0.0,1.0,0.0,1.0
282,5.0,1.0,1.0,2.0,,2.0
284,,1.0,0.0,1.0,27.72,
285,,1.0,0.0,1.0,18.34,
286,,,0.0,1.0,0.0,
287,,1.0,0.0,1.0,39.46,1.0
288,,1.0,0.0,1.0,0.0,1.0
289,,1.0,0.0,1.0,5.01,1.0
290,,,0.0,1.0,0.0,
291,,,0.0,1.0,,
292,,,0.0,1.0,,
293,,1.0,0.0,1.0,45.27,
294,,1.0,0.0,1.0,35.47,
295,3.0,,0.0,1.0,,
296,1.0,,0.0,1.0,0.0,
298,,,0.0,1.0,,
300,,,0.0,1.0,0.0,
301,9.0,1.0,0.0,2.0,109.57,1.0
302,8.0,,0.0,2.0,,
303,,3.0,0.0,2.0,,1.0
304,,1.0,0.0,1.0,0.0,1.0
305,,1.0,1.0,3.0,,2.0
306,4.0,1.0,0.0,3.0,224.3,1.0
308,,1.0,0.0,1.0,28.97,1.0
309,,11.0,4.0,1.0,,5.0
313,,,0.0,1.0,0.0,
314,,1.0,0.0,1.0,24.67,
315,5.0,,0.0,2.0,0.0,1.0
316,,1.0,0.0,1.0,247.78,1.0
317,,1.0,0.0,1.0,44.36,1.0
318,,1.0,0.0,1.0,15.99,1.0
319,1.0,1.0,0.0,2.0,18.8,1.0
320,,1.0,0.0,1.0,51.61,1.0
321,,,0.0,1.0,0.0,1.0
322,2.0,1.0,0.0,2.0,40.6,1.0
323,,,0.0,1.0,0.0,
326,,1.0,0.0,1.0,0.0,1.0
327,,,0.0,1.0,,
328,,,0.0,1.0,0.0,
329,,,0.0,1.0,0.0,
331,,1.0,0.0,1.0,8.52,1.0
333,,1.0,0.0,1.0,40.77,
334,,,0.0,1.0,0.0,
335,,,0.0,1.0,0.0,
336,,,0.0,1.0,,
339,2.0,1.0,0.0,2.0,24.19,
340,,,0.0,1.0,0.0,
341,,1.0,0.0,3.0,23.49,
342,,1.0,0.0,1.0,17.995256697492792,
343,,1.0,1.0,1.0,,2.0
344,,1.0,0.0,1.0,0.0,1.0
345,,1.0,0.0,1.0,22.33,
346,,1.0,2.0,1.0,0.0,1.0
347,1.0,,0.0,2.0,0.0,
348,1.0,1.0,0.0,3.0,25.22,1.0
349,,1.0,0.0,2.0,55.04,
350,7.0,,0.0,1.0,,
352,14.0,,0.0,1.0,,
353,,1.0,0.0,1.0,17.22,
354,,1.0,0.0,1.0,36.56,1.0
355,,1.0,0.0,1.0,17.19,
356,,1.0,0.0,1.0,19.73,
358,,1.0,0.0,1.0,18.59,1.0
359,,1.0,1.0,1.0,0.0,1.0
360,8.0,,0.0,1.0,,
361,50.0,,0.0,1.0,,
362,,1.0,0.0,1.0,45.76,1.0
363,2.0,,0.0,2.0,0.0,1.0
366,,,0.0,1.0,,
367,,1.0,0.0,1.0,37.04,1.0
368,,1.0,0.0,1.0,6.78,1.0
369,,1.0,0.0,3.0,3.83,1.0
370,,1.0,0.0,1.0,20.08,
371,,,0.0,1.0,0.0,
372,,1.0,0.0,1.0,36.05,1.0
374,,1.0,0.0,1.0,21.72,1.0
376,,3.0,1.0,1.0,,2.0
377,5.0,,0.0,1.0,,
378,,,0.0,1.0,,
379,,,0.0,1.0,,
380,,,0.0,1.0,0.0,
382,,1.0,0.0,1.0,21.19,1.0
383,,1.0,0.0,2.0,19.61,1.0
384,,1.0,0.0,1.0,21.4,
385,29.0,,0.0,1.0,,
386,,1.0,0.0,1.0,17.94,
387,,,0.0,1.0,,
388,5.0,1.0,0.0,2.0,55.38,1.0
389,,1.0,0.0,1.0,13.98,
390,,,0.0,1.0,,
391,,1.0,0.0,1.0,26.01,
392,,1.0,0.0,1.0,41.86,1.0
393,1.0,,0.0,2.0,,1.0
396,9.0,2.0,1.0,2.0,42.39,2.0
397,,,0.0,1.0,0.0,
398,,1.0,0.0,1.0,29.37,
399,5.0,1.0,0.0,2.0,41.38,1.0
400,,,0.0,1.0,,
401,,,0.0,1.0,,
402,,1.0,0.0,1.0,24.67,
404,,1.0,2.0,2.0,0.0,2.0
405,,3.0,2.0,1.0,0.0,3.0
406,,3.0,0.0,2.0,96.36,
407,3.0,,0.0,2.0,,1.0
408,,1.0,0.0,2.0,150.77,1.0
411,,1.0,0.0,1.0,33.88,1.0
413,,,0.0,1.0,0.0,
414,,,0.0,1.0,0.0,
415,23.0,,0.0,1.0,,
417,,,0.0,1.0,,
418,,3.0,0.0,1.0,,1.0
419,,3.0,1.0,1.0,23.64,2.0
420,,,0.0,1.0,0.0,
421,,,0.0,1.0,0.0,1.0
423,,19.0,15.0,1.0,96.32969629151845,15.0
424,,1.0,0.0,1.0,34.19,1.0
426,,2.0,1.0,1.0,17.56,1.0
427,,1.0,0.0,1.0,28.23,
428,,1.0,0.0,1.0,,1.0
429,,1.0,0.0,1.0,17.42,1.0
431,,1.0,0.0,1.0,0.0,1.0
432,,1.0,0.0,1.0,50.16,1.0
433,8.0,3.0,1.0,2.0,,2.0
434,5.0,,0.0,1.0,,
435,,1.0,0.0,2.0,14.15,1.0
436,,2.0,0.0,1.0,,1.0
440,28.0,,0.0,1.0,,
441,,1.0,0.0,1.0,22.43,
442,,,0.0,2.0,,
443,7.0,,0.0,1.0,0.0,
444,,1.0,0.0,1.0,38.91,1.0
445,,1.0,0.0,2.0,15.6,1.0
446,1.0,,0.0,1.0,,
447,3.0,2.0,1.0,2.0,37.28,1.0
449,4.0,1.0,0.0,2.0,22.73,1.0
453,50.0,,0.0,1.0,,
454,,2.0,0.0,1.0,117.57999999999998,
455,,1.0,0.0,1.0,1.5,1.0
456,,3.0,1.0,1.0,108.73,1.0
457,,1.0,0.0,1.0,17.8,
459,,,0.0,1.0,0.0,
461,,,0.0,1.0,0.0,
462,,,0.0,1.0,,
464,1.0,1.0,0.0,2.0,0.5,1.0
465,3.0,,0.0,1.0,,
466,1.0,,0.0,1.0,0.0,
468,,24.0,5.0,1.0,0.0,2.0
469,,4.0,1.0,1.0,,2.0
470,,,0.0,1.0,0.0,
474,,1.0,0.0,1.0,23.54,1.0
475,5.0,,0.0,1.0,,
476,,,0.0,2.0,0.0,
477,1.0,,0.0,1.0,,
478,,1.0,0.0,1.0,6.39,
479,,2.0,0.0,1.0,157.91,1.0
481,2.0,,0.0,2.0,0.0,
482,,1.0,0.0,1.0,30.52,1.0
483,3.0,1.0,1.0,2.0,,2.0
484,14.0,,0.0,1.0,,
485,,,0.0,1.0,,
486,,,0.0,1.0,,
488,4.0,,0.0,1.0,,
491,,,0.0,1.0,0.0,
492,,1.0,0.0,1.0,21.81,
493,7.0,1.0,0.0,2.0,25.32,1.0
494,,,0.0,1.0,0.0,1.0
495,,,0.0,1.0,0.0,1.0
497,,1.0,0.0,1.0,0.0,
500,,,0.0,1.0,0.0,
501,1.0,,0.0,1.0,,
502,,,0.0,1.0,0.0,
503,50.0,,0.0,1.0,,
504,,1.0,0.0,2.0,,1.0
505,,1.0,0.0,1.0,29.6,
508,,,0.0,1.0,,
510,,1.0,0.0,1.0,0.0,1.0
511,,,0.0,1.0,0.0,1.0
513,,1.0,0.0,1.0,17.6,1.0
514,7.0,2.0,1.0,1.0,39.88,2.0
516,2.0,,0.0,1.0,,
520,,1.0,0.0,2.0,36.58,
521,4.0,,0.0,1.0,0.0,
522,,1.0,0.0,1.0,0.0,1.0
523,,,0.0,1.0,0.0,
524,2.0,,0.0,1.0,,
525,,1.0,0.0,1.0,56.95,1.0
526,,3.0,0.0,1.0,0.0,1.0
529,2.0,,0.0,1.0,0.0,
530,13.0,3.0,0.0,2.0,159.73000000000005,1.0
531,,,0.0,1.0,,
532,,,0.0,1.0,0.0,
533,1.0,2.0,1.0,3.0,4.33,2.0
534,,,0.0,1.0,,
535,,1.0,0.0,1.0,31.83,
537,3.0,,0.0,2.0,,
538,,1.0,0.0,1.0,28.11,
539,2.0,1.0,0.0,2.0,0.5,1.0
540,,6.0,0.0,1.0,0.0,1.0
541,27.0,,0.0,1.0,,
542,,,0.0,2.0,,
544,,2.0,0.0,1.0,11.77,1.0
545,,,0.0,1.0,,
546,,2.0,1.0,1.0,42.51,2.0
547,,,0.0,1.0,0.0,
548,,,0.0,1.0,,
550,,1.0,0.0,2.0,,1.0
551,,1.0,0.0,1.0,67.38,1.0
554,,,0.0,1.0,0.0,
556,,10.0,7.0,1.0,,6.0
557,,1.0,0.0,1.0,896.01,1.0
558,3.0,4.0,1.0,2.0,,2.0
559,,1.0,0.0,1.0,38.61,
560,,,0.0,1.0,,
563,,,0.0,1.0,,
564,,,0.0,1.0,,
565,,,0.0,1.0,0.0,
566,,1.0,0.0,1.0,27.55,1.0
567,3.0,,0.0,1.0,0.0,
570,4.0,,0.0,2.0,0.0,
571,,,0.0,1.0,,
572,,,0.0,1.0,0.0,
573,,1.0,0.0,1.0,38.58,1.0
574,,,0.0,2.0,,
575,1.0,1.0,0.0,2.0,0.5,1.0
577,2.0,,0.0,1.0,,
578,2.0,,0.0,1.0,,
579,,,0.0,1.0,0.0,
580,8.0,,0.0,1.0,,
581,,1.0,0.0,1.0,25.76,
582,,,0.0,1.0,0.0,
583,,,0.0,1.0,0.0,
584,1.0,,0.0,1.0,,
585,2.0,,0.0,1.0,,
586,,2.0,0.0,2.0,66.64999999999999,
588,1.0,1.0,0.0,2.0,0.5,1.0
589,,,0.0,1.0,,
590,,1.0,0.0,1.0,0.0,1.0
592,,1.0,0.0,1.0,21.76,
593,,,0.0,1.0,,1.0
594,,2.0,0.0,1.0,28.33,
595,4.0,,0.0,1.0,,
597,2.0,,0.0,2.0,0.0,
598,,,0.0,2.0,,
599,,,0.0,1.0,,
600,,,0.0,1.0,,
601,2.0,,0.0,1.0,,
602,,,0.0,1.0,,
604,,15.0,11.0,3.0,,11.0
605,2.0,,0.0,1.0,,
606,,1.0,2.0,1.0,0.0,2.0
607,,14.0,2.0,1.0,,3.0
608,29.0,,0.0,1.0,,
