consumer_id,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change
1,,1.0,4.0,0.0
2,24.73,1.0,,0.0
3,,1.0,,0.0
4,64.21,1.0,,0.0
5,,1.0,1.0,0.0
7,21.96,3.0,4.0,0.0
8,48.02,1.0,,0.0
9,,1.0,,0.0
10,34.73,1.0,,0.0
11,31.85,1.0,,0.0
13,28.0,2.0,,0.0
14,,1.0,,0.0
15,50.19,1.0,,0.0
16,,1.0,,0.0
17,,1.0,1.0,0.0
19,64.38,1.0,,0.0
21,154.17000000000004,1.0,4.0,2.0
22,,1.0,,2.0
23,,1.0,,0.0
24,32.98,2.0,6.0,1.0
26,0.0,1.0,1.0,0.0
27,0.0,2.0,10.0,0.0
28,0.0,2.0,1.0,0.0
29,26.28,1.0,,0.0
30,73.84,1.0,4.0,0.0
31,39.23,1.0,,0.0
32,36.26,1.0,,0.0
33,23.46,1.0,2.0,0.0
34,,1.0,4.0,0.0
35,16.81,1.0,5.0,0.0
36,43.43,1.0,,0.0
37,55.21,2.0,,0.0
39,41.57,2.0,5.0,0.0
41,45.95,1.0,,0.0
42,37.17,1.0,,0.0
43,42.72,1.0,,0.0
49,403.97,5.0,17.0,0.0
50,0.0,1.0,1.0,0.0
51,,1.0,,0.0
52,31.32,1.0,,0.0
54,33.86,1.0,,0.0
55,114.91,2.0,2.0,1.0
56,,1.0,1.0,0.0
57,116.95,8.0,33.0,24.0
59,0.0,2.0,3.0,0.0
60,16.71,3.0,4.0,5.0
62,4.33,2.0,3.0,1.0
63,16.77,1.0,,0.0
64,70.4,2.0,10.0,5.0
65,,1.0,,0.0
66,19.97,2.0,3.0,0.0
68,18.57,1.0,9.0,5.0
69,20.28,1.0,,0.0
70,,1.0,,0.0
71,61.66,2.0,2.0,0.0
72,,1.0,,0.0
73,,1.0,1.0,0.0
74,21.96,1.0,1.0,0.0
75,,1.0,,0.0
76,141.24,1.0,,0.0
78,40.04,1.0,1.0,0.0
79,,1.0,,0.0
80,,1.0,,0.0
81,118.28,1.0,,0.0
82,0.0,1.0,,0.0
83,,1.0,,0.0
85,,1.0,5.0,0.0
86,,2.0,2.0,0.0
87,0.0,1.0,,1.0
88,57.83,2.0,,0.0
89,16.19,1.0,2.0,1.0
90,18.84,1.0,,0.0
91,25.86,2.0,,0.0
93,,1.0,1.0,0.0
95,0.0,5.0,2.0,0.0
96,110.89,4.0,3.0,0.0
97,,1.0,,0.0
98,0.0,1.0,1.0,0.0
99,75.9,4.0,,0.0
100,,1.0,,0.0
101,22.52,1.0,2.0,0.0
102,0.0,1.0,2.0,0.0
103,49.24,3.0,2.0,1.0
104,23.21,1.0,,0.0
105,,1.0,1.0,0.0
106,,1.0,1.0,0.0
108,40.32,1.0,1.0,0.0
109,,1.0,,0.0
111,,1.0,,0.0
112,34.34,2.0,1.0,1.0
113,0.0,1.0,1.0,0.0
114,26.14,1.0,4.0,2.0
115,12.63,1.0,,0.0
