,latest_changed_password,max_item_count,days_since_first_transaction,email_address_age_days,email_domain_label,email_domain_tld_label,email_username_length,num_unique_delivery_addresses,latest_delivery_address_name_length,latest_delivery_address_region_label,latest_delivery_address_fraction_vowels,latest_order_amount_usd,latest_item_category,latest_item_product_title,latest_item_quantity,latest_item_tag_count,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change,per_day_add_item_to_cart,per_day_transactions,per_day_payment_method_change,per_day_devices_per_user,per_day_purchase_total,per_day_unique_billing_last4,per_month_logout,per_month_page_activity,per_month_transactions
11673,False,2.0,1683.171527404278,461.77839690972223,64.0,17.0,16.0,1.0,16.0,5.0,0.1799614115982138,109.66741892151568,Catering,12-16 People,1.0,1.0,76.04,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,76.04,1.0,-999.0,-999.0,2.3195456372185763
4110,False,1.0,456.09295088677834,150.2246929050926,204.0,46.0,18.0,1.0,15.0,15.0,0.3488418890519522,53.13911631513069,Breakfast Entrées,King (Double) CROISSANWICH®,2.0,1.0,20.69,1.0,1.0,0.0,-999.0,1.0,0.0,1.0,20.69,-999.0,-999.0,-999.0,0.2463258084106798
15822,False,-999.0,-999.0,0.0046866319444444,64.0,17.0,7.0,-999.0,11.0,34.0,0.3962110357292651,-999.0,Salad & Soups,18. Taj Garden Salad,1.0,1.0,-999.0,1.0,1.0,0.0,3.0,-999.0,0.0,2.0,-999.0,-999.0,1.0,1.0,-999.0
13948,Missing,-999.0,-999.0,0.0,386.0,17.0,8.0,-999.0,-999.0,-999.0,-999.0,-999.0,Missing,Missing,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
9726,False,1.0,793.0587909563532,338.9167792592593,386.0,17.0,19.0,1.0,12.0,20.0,0.2933164641641573,56.47533194814831,Cheesecakes & Specialty Desserts,Adam's Peanut Butter Cup Fudge Ripple Cheesecake,1.0,1.0,173.91000000000005,2.0,-999.0,0.0,-999.0,1.0,0.0,1.0,38.27,1.0,-999.0,-999.0,11.73191844086555
6396,False,4.0,314.9896886833975,0.9166582523148148,64.0,17.0,14.0,1.0,15.0,5.0,0.263810261671599,802.5892630345014,Cognac,Hennessy Cognac VSOP | 750ml    40% abv,4.0,1.0,640.06,2.0,3.0,0.0,-999.0,1.0,0.0,2.0,640.06,1.0,-999.0,-999.0,4.483389023143445
13654,False,1.0,114.51201130015198,105.07439829861111,458.0,17.0,8.0,1.0,9.0,34.0,0.2818716194688833,83.5424673446877,Mac,B.B. King,1.0,1.0,15.99,1.0,-999.0,0.0,1.0,1.0,0.0,2.0,15.99,1.0,-999.0,4.0,6.677991634158385
2858,False,1.0,1568.4574976969334,395.24151327546303,386.0,17.0,11.0,1.0,17.0,5.0,0.3323909078850704,58.75142331663181,House Curries,Panang Curry,1.0,1.0,73.25999999999998,1.0,-999.0,0.0,2.0,1.0,0.0,1.0,24.97,-999.0,-999.0,-999.0,4.483389023143445
13771,False,1.0,687.3733781768797,485.9376102314815,575.0,17.0,11.0,2.0,11.0,46.0,0.4030995600865677,97.49677646188928,Chicken Tenders Combos,Chicken Tenders Combo (1/2 Pound),1.0,1.0,197.5,2.0,3.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,6.06874471415418
2515,False,2.0,314.9896886833975,144.29006890046298,730.0,17.0,11.0,1.0,9.0,14.0,0.2466472347520054,72.34772248771858,Delicious Ice Cream Cakes & More,Ice Cream Cookie Sandwiches,1.0,1.0,30.31,1.0,3.0,0.0,-999.0,1.0,0.0,1.0,30.31,1.0,-999.0,-999.0,5.7304284375512
4727,False,1.0,966.2917736928424,425.707698101852,386.0,17.0,8.0,1.0,8.0,43.0,0.4229895952717565,2.1909608832272944,Drink,Fresh Brewed Strawberry Lemonade,1.0,0.0,20.16,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,20.16,-999.0,-999.0,-999.0,5.983505792941288
