latest_item_category,false_positive_cases,avg_risk_score
Missing,97,0.8247259546422153
Appetizers,12,0.7162156835727932
Entrees,7,0.6774363950474059
Sides,7,0.6969982694692843
Beverages,5,0.7331631177067293
Side,4,0.9132433417960029
Burgers,4,0.8342498708254105
Pasta,3,0.6579922366663441
Drinks,3,0.5825109484827341
Desserts,3,0.7515218483877787
Combos,3,0.7603467503854189
Salads,3,0.6616110801822418
Cheesecakes & Specialty Desserts,2,0.5906305456276093
Specialties,2,0.7994896607299156
Starters,2,0.953502706578417
Sweets,2,0.8044543579629138
Extra Value Meals,2,0.6396339273237962
Tequila,2,0.975971243961417
Burritos,2,0.6156860531295785
Value Menu 2,2,0.8036436730658325
Value Menu,2,0.7732863443395716
Boneless Wings,2,0.6796441526004555
Treats,2,0.9175349207742078
Snacks & Sides,1,0.9115364246156156
Small Platters,1,0.5655903843504202
Signature Rolls,1,0.8262627695133582
Signature Roll,1,0.9373549324763926
Sides & Finishes,1,0.7552789413658818
Musubi,1,0.5452544188902541
Omelets-Breakfast,1,0.7616644506178394
Shareable Sides,1,0.5873116760977577
Shakes & Frozen Custard,1,0.99842929555433
Naan Bread,1,0.9793652339953032
Shakes,1,0.720646566457739
Nachos,1,0.5634414480366651
Noodle Soups,1,0.5164050558031018
Rice Entrées,1,0.7278152884460863
Pizza,1,0.6619950396595661
Soft Drink,1,0.5059338752716804
Noodles,1,0.5657027884690371
A La Carte,1,0.7246640448772794
Special Items,1,0.836342172323394
Soft Drinks,1,0.6337736910164364
Soup    Salads & Pasta,1,0.5549851097464436
Wings,1,0.5405592616072739
Tropical Drinks & Sodas,1,0.8897483177224925
Tenders & Mac,1,0.6690278018900747
Tender Meals,1,0.5912835760928906
Teasers,1,0.775757936898073
Tacos,1,0.5929382985949281
THE HITS,1,0.5907508626038248
Sushi Burritos,1,0.62487188226798
Steamed Dumplings,1,0.9862556447255568
Steakburgers™,1,0.5501153371358729
Steak Sandwiches,1,0.9018311743711868
Specialty Subs,1,0.9972732472290112
Specialty Sandwiches,1,0.5861134945368117
Specialty Pizzas & Calzones,1,0.7775624433072689
Special Roll,1,0.7675084069217467
Mediterranean Entrées,1,0.8910882753650882
Special Drinks,1,0.8626944122610734
Soups,1,0.5794994650546975
Soup & Salad,1,0.7266166770881506
Mels Three Eggs Omelette,1,0.6060421125602314
Just a WhataBurger,1,0.5064157671936822
Mains (Dinner),1,0.997752756486227
Emparedados Cubanos (Cuban Sandwiches),1,0.5511546034703789
Dollar Menu & More,1,0.6128466535951422
Desserts & Shakes,1,0.5991114553838309
Deliciously Dunkable Dipping Sauces,1,0.664656798046764
Deep Dish Pizzas,1,0.8195439375843909
Cooked Rolls,1,0.7997718015864834
Combo Meals,1,0.755273799144525
Combinations,1,0.948472893440183
Combination Plates,1,0.9353606688040588
Coffee & Espresso,1,0.9952578911718244
Chicken    Ribs & Chops,1,0.8905827569105823
Chicken,1,0.773727085359393
Chef-Inspired Pies,1,0.6040085250903067
Carne (Meats),1,0.9987133096843246
Burgers & Sandwiches (Lunch Only),1,0.6300844775926192
Build Your Own Sandwich,1,0.6086171786473704
Build Your Own,1,0.5558102016913187
Breakfast,1,0.5249714129364842
Boxes/Assortments (MONDAY),1,0.754333612312655
Bowls,1,0.5651196611264979
Beverage,1,0.9200707592194378
Beef-n-Sausage Sandwiches,1,0.5764288104211212
Ballpark Fries,1,0.7223783096735723
Açaí Bowls®,1,0.7397046347896121
Empanada,1,0.991497304492929
Entrée Salads,1,0.9180696625818496
Little Kahunas,1,0.9663231929517592
Entrées & Meals,1,0.6814220215485962
Knife-Cut Noodles,1,0.9946389340835174
Kid's Menu,1,0.8111973736997595
Kid's Combos,1,0.8016958256480555
A la Carte Sides & Extras,1,0.78958511924387
Jack's Deals,1,0.5922861150519159
Individual Items,1,0.799191729094741
Ices,1,0.8444701321007886
Hot Subs,1,0.6770667739189881
Handcrafted Burgers,1,0.7946902201839199
HAND TOSSED CHICKEN WINGS,1,0.5327057651331182
Guest Favorites,1,0.8793104517118552
Fries & Sides,1,0.7047993426508851
Fries,1,0.5553173253389901
Fried Rice,1,0.9047503714213252
Fresh Grilled Hot Regular Subs,1,0.5887849930332034
French Toast,1,0.5034227079347318
Frank Pepe's Specialty Pies,1,0.8644356289685319
Fish & Seafood,1,0.9999914694206046
Filled Do-nuts,1,0.5809986613903032
Featured Items,1,0.7879402916519466
Family Meals,1,0.527102442637101
Extras,1,0.8606420398216443
Espresso    Coffee & Tea,1,0.5319784849047474
Wraps,1,0.9975016040868878
