latest_delivery_address_region_label,cases,false_positives,avg_score,fp_rate_within_region
-999.0,487,9,0.029293704712788873,0.018480492813141684
0.0,6,0,0.20886180770196006,0.0
1.0,4,0,0.06927621867718954,0.0
2.0,2,1,0.332332366571635,0.5
3.0,87,4,0.10512329648835224,0.04597701149425287
4.0,12,0,0.3714665154238201,0.0
5.0,743,68,0.20326914409498326,0.09152086137281291
6.0,90,7,0.10676769412573324,0.07777777777777778
7.0,10,1,0.16670827423415333,0.1
8.0,18,2,0.2392861793151781,0.1111111111111111
9.0,3,0,0.17327918587785995,0.0
10.0,152,20,0.24171113245368794,0.13157894736842105
11.0,63,3,0.12492077466240949,0.047619047619047616
12.0,2,0,0.08032968360795699,0.0
13.0,2,1,0.5140912369058169,0.5
14.0,7,0,0.21733278961842384,0.0
15.0,130,8,0.2073730123201669,0.06153846153846154
16.0,47,3,0.10654226148107736,0.06382978723404255
17.0,11,2,0.2613870543592735,0.18181818181818182
18.0,14,1,0.12367142793565776,0.07142857142857142
19.0,11,2,0.3541264713712001,0.18181818181818182
20.0,58,7,0.19272427015299667,0.1206896551724138
21.0,59,5,0.15316133225624318,0.0847457627118644
22.0,62,6,0.22170638897634615,0.0967741935483871
23.0,63,7,0.18542288253204617,0.1111111111111111
24.0,35,2,0.1250056678887258,0.05714285714285714
27.0,38,5,0.23222255839636144,0.13157894736842105
28.0,4,0,0.0610035307850027,0.0
29.0,1,0,0.0154539436280104,0.0
30.0,82,5,0.18022540233593348,0.06097560975609756
31.0,1,0,0.0397598666735973,0.0
32.0,32,5,0.3455602361801374,0.15625
33.0,250,20,0.2823934704294476,0.08
34.0,101,9,0.15273241488065858,0.0891089108910891
35.0,17,3,0.20762774701901493,0.17647058823529413
36.0,15,2,0.236872275932021,0.13333333333333333
37.0,11,2,0.15028602178272085,0.18181818181818182
38.0,30,6,0.21667308040770925,0.2
39.0,1,0,0.0186330197654762,0.0
40.0,3,2,0.4171357456195977,0.6666666666666666
41.0,2,0,0.10820660714867784,0.0
42.0,21,2,0.1503436801180525,0.09523809523809523
43.0,311,36,0.1853793752361493,0.1157556270096463
44.0,59,3,0.5236968870483711,0.05084745762711865
45.0,63,4,0.11371672940703968,0.06349206349206349
46.0,61,5,0.12014900352272934,0.08196721311475409
47.0,16,0,0.11028156262621062,0.0
