latest_item_category,cases
Missing,172
Beverages,17
Appetizers,16
Sides,13
Entrees,9
Chicken,8
Drinks,7
Brandy,7
Desserts,6
Burgers,5
Value Menu,5
Side,4
Combos,4
Boneless Wings,3
Salads,3
Tequila,3
Pasta,3
Extra Value Meals,3
Specialties,2
KING JR™ Meals,2
Breakfast,2
Cheesecakes & Specialty Desserts,2
Spirits/Tequila,2
Fish & Seafood,2
Cognac,2
Treats,2
Starters,2
Scotch,2
Value Menu 2,2
Individual Meals,2
Beef,2
Burritos,2
Sweets,2
THE HITS,1
Road Sides,1
Entrée Salads,1
Cognac / Brandy,1
Sushi Burritos,1
Soft Drink,1
Cooked Rolls,1
Shakes & Frozen Custard,1
Ices,1
Carne (Meats),1
Cognac - Liquor,1
Empanada,1
Fries & Sides,1
Wine,1
Frank Pepe's Specialty Pies,1
Small Plates & Snacks,1
Beef Meals,1
Sides & Finishes,1
Soups,1
Just a WhataBurger,1
Steak Sandwiches,1
French Toast,1
Hard Bar,1
Lunch Special,1
Regular Rolls,1
Special Rolls,1
Beef-n-Sausage Sandwiches,1
Specialty Pizzas & Calzones,1
Signature Roll,1
Kid's Menu,1
Combo Meal,1
Shakes,1
Desserts & Shakes,1
Sashimi Combo,1
Bowls,1
Individual Combos,1
Burgers & Sandwiches (Lunch Only),1
Traditional Wings,1
Combination Plates,1
Tender Meals,1
Bottled Juices,1
Fried Rice,1
Frozen Beverages,1
Steaks & Prime Rib,1
Dollar Menu & More,1
Jack's Deals,1
Omelets-Breakfast,1
Family Meals,1
Specialty Subs,1
Steamed Dumplings,1
A La Carte,1
Entrées & Meals,1
Mains (Dinner),1
Soup    Salads & Pasta,1
Fries,1
HAND TOSSED CHICKEN WINGS,1
Emparedados Cubanos (Cuban Sandwiches),1
Hot Subs,1
Knife-Cut Noodles,1
Guiltless Entrées,1
Featured Items,1
Noodle Soups,1
Tacos,1
Frosty & Bakery,1
Appetizers & Dips,1
Peruvian,1
Tenders & Mac,1
Wings,1
A la Carte Sides & Extras,1
Filled Do-nuts,1
Aussie-Tizers® & Snacks,1
Tenders,1
Deliciously Dunkable Dipping Sauces,1
Lobster & Crab,1
House Smoked Meats,1
Rice Bowls w/ Veggies,1
Medium Deep Dish Pizza,1
Rice Entrées,1
Tropical Drinks & Sodas,1
Sandwiches    Burgers & Hot Dawgs,1
Champagne - Wine,1
Handcrafted Burgers,1
Ham,1
Espresso    Coffee & Tea,1
Shareable Sides,1
Specialty Sandwiches,1
Chicken    Ribs & Chops,1
Chips    Sweets    and Drinks,1
Beverage,1
Seafood Rice,1
Combinations,1
Full Size Calzones,1
Teasers,1
Extras,1
Fresh Grilled Hot Regular Subs,1
Noodles,1
Appetizers & Sides,1
Burgers & Sandwiches,1
Açaí Bowls®,1
Signature Rolls,1
Soup & Salad,1
Coffee & Espresso,1
Small Platters,1
Soft Drinks,1
Deep Dish Pizzas,1
Entrée,1
Build Your Own,1
Wraps,1
Chef-Inspired Pies,1
Drinks & Sweets,1
Kid's Combos,1
Combo Meals,1
Appetizer,1
Whole Cheesecakes and Specialty Cakes,1
Freshly Prepared Salads,1
Nachos,1
Breakfast Sides,1
Boxes/Assortments (MONDAY),1
Ballpark Fries,1
McNuggets,1
Pizza,1
Shareables,1
Snacks & Sides,1
Spirits/Brandy,1
Special Roll,1
Steakburgers™,1
Special Drinks,1
Build Your Own Sandwich,1
Special Items,1
Individual Items,1
Extra,1
Musubi,1
Rice Specialties,1
Naan Bread,1
Mediterranean Entrées,1
Seafood Boil,1
Greens,1
Mels Three Eggs Omelette,1
Sides & Dips,1
Combo's,1
Guest Favorites,1
Dessert,1
Little Kahunas,1
